Id Tienda;CODIGO DP
23;1001601
73;1057689
84;1064224
25;1001633
69;1055170
35;1001965
71;1056025
20;1001465
51;1042972
6;1000931
38;1034010
7;1000934
4;1000300
19;1001411
2;1000298
11;1001218
55;1044521
62;1048833
16;1001347
64;1050539
46;1039819
47;1039820
31;1001875
34;1001936
21;1001464
13;1001307
45;1036982
66;1051507
32;1001876
75;1057701
86;1064695
72;1056024
60;1048831
81;1062327
24;1001623
42;1035444
3;1000299
78;1059599
91;1072445
9;1001016
58;1047580
33;1001937
41;1034663
93;1073262
36;1001966
43;1034360
10;1001032
79;1059745
89;1071769
8;1000977
56;1046599
57;1046945
90;1072565
29;1001742
76;1059280
12;1073262
54;1046615
53;1045396
87;1064095
39;1034076
74;1057748
15;1001342
68;1055168
22;1001497
88;1036232
18;1001394
85;1059598
85;1059598
82;1062762
59;1048291
80;1059744
49;1042132
61;1048834
17;1001374
27;1001858
30;1001716
63;1049226
28;1001737
40;1034743
48;1044276
65;1051508
